Transaction,Type,Currency,Amount,USD Equivalent,Details,Outstanding Loan,Date / Time
NXTXvVJc6QzoM,Interest,NEXONEXO,0.05016298,$0.1384252449398,approved / 0.00007234 ETH,$3486.21,2021-04-01 01:00:02
NXT9QelfNIIyV,Interest,NEXONEXO,0.08603582,$0.2374167056482,approved / 0.00000403 BTC,$3486.21,2021-04-01 01:00:02
NXTp6kE3Hg0WT,Interest,USD,-0.57000000,$0.57,approved / Interest,$3486.21,2021-04-01 00:00:02
NXTdJ8CJI4wyW,Interest,NEXONEXO,0.09324621,$0.2592925335333,approved / 0.22127317 EURx,$3485.64,2021-03-31 01:00:02
NXTRJKniJtMWi,Interest,NEXONEXO,0.04799974,$0.1334743170102,approved / 0.00007234 ETH,$3485.64,2021-03-31 01:00:02
NXTnF5qnq40d8,Interest,NEXONEXO,0.02229257,$0.0619896181761,approved / 0.04511758 GBPx,$3485.64,2021-03-31 01:00:02
NXTbwUMe77eI1,Interest,NEXONEXO,0.08539534,$0.2374613837982,approved / 0.00000403 BTC,$3485.64,2021-03-31 01:00:02
NXT0VgAaayzQe,Interest,USD,-0.57000000,$0.57,approved / Interest,$3485.64,2021-03-31 00:00:02
NXTDfIXW5lM6c,ExchangeSell,ETHGBPX,-0.01700000,$30.602836093,approved / Exchange Ether to GBP,$3485.07,2021-03-30 05:21:51
NXT0Lg2LDkw0X,ExchangeSell,BTCGBPX,-0.00060000,$34.4582972226,approved / Exchange Bitcoin to GBP,$3485.07,2021-03-30 05:20:16
NXTyiXKgzeIaT,ExchangeSell,ETHEURX,-0.02700000,$48.693349476,approved / Exchange Ether to EUR,$3485.07,2021-03-30 05:17:55
NXT95C1djjFcD,ExchangeSell,BTCEURX,-0.00082530,$47.409656581854,approved / Exchange Bitcoin to EUR,$3485.07,2021-03-30 05:16:25
NXTFB3nmS3tvL,TransferOut,NEXO,-0.25402923,$0.67514186753559,approved / Transfer from Savings Wallet to Credit Line Wallet,$3485.07,2021-03-30 05:13:32
NXTsobiEjnMRn,ExchangeSell,ETHEURX,-0.06000000,$108.02277108,approved / Exchange Ether to EUR,$3485.07,2021-03-30 05:12:33
NXTu8QoodcC64,ExchangeSell,BTCEURX,-0.00200000,$114.935280506,approved / Exchange Bitcoin to EUR,$3485.07,2021-03-30 05:11:59
NXTNBHZqXyfvb,Interest,NEXONEXO,0.01800129,$0.0480422027778,approved / 0.03490076 GBPx,$3485.07,2021-03-30 01:00:03
NXTnh98oQBQWQ,Interest,NEXONEXO,0.06278574,$0.1675638386268,approved / 0.00009228 ETH,$3485.07,2021-03-30 01:00:03
NXT6nJp3gEh9q,Interest,NEXONEXO,0.07169158,$0.1913319225356,approved / 0.16258524 EURx,$3485.07,2021-03-30 01:00:03
NXTYJgtX7yTd9,Interest,NEXONEXO,0.10155062,$0.2710203256684,approved / 0.00000468 BTC,$3485.07,2021-03-30 01:00:03
NXTHG3lDUZS1F,Interest,USD,-0.57000000,$0.57,approved / Interest,$3485.07,2021-03-30 00:00:02
NXTOk9cWpzRbj,TransferOut,NEXO,-1.00000000,$2.495863,approved / Transfer from Savings Wallet to Credit Line Wallet,$3484.50,2021-03-29 19:46:13
NXTg1FRRPSMed,ExchangeSell,BTCEURX,-0.00094000,$54.47899223492,approved / Exchange Bitcoin to EUR,$3484.50,2021-03-29 19:44:50
NXTietebD61xB,ExchangeSell,NEXONEXOBTC,-22.00000000,$54.962446,approved / Exchange NEXO Token to Bitcoin,$3484.50,2021-03-29 19:42:46
NXTNcGfdOeK7u,TransferIn,NEXO,23.00000000,$57.551037,approved / Transfer from Credit Line Wallet to Savings Wallet,$3484.50,2021-03-29 19:41:12
NXT0ZHuzn4OZD,TransferOut,USDTERC,-85.88811182,$85.91310526054,approved / Transfer from Savings Wallet to Credit Line Wallet,$3484.50,2021-03-29 18:14:48
NXTJymCJNPSyQ,TransferOut,NEXO,-0.73349673,$1.8926951576803,approved / Transfer from Savings Wallet to Credit Line Wallet,$3484.50,2021-03-29 18:13:46
NXTWTpLf8MZMT,ExchangeSell,NEXONEXOUSDTERC,-34.00000000,$87.732682,approved / Exchange NEXO Token to Tether,$3484.50,2021-03-29 18:13:07
NXT35YglityGQ,TransferIn,NEXO,10.20408701,$26.482564976183,approved / Transfer from Credit Line Wallet to Savings Wallet,$3484.50,2021-03-29 18:04:36
NXTELLRqAhrZJ,TransferIn,NEXO,17.00000000,$43.674411,approved / Transfer from Credit Line Wallet to Savings Wallet,$3484.50,2021-03-29 17:52:22
NXTmb1vzyXJ2Y,Interest,NEXONEXO,0.01926249,$0.0481406223831,approved / 0.03490076 GBPx,$3484.50,2021-03-29 01:00:03
NXTRkL6icZJNj,Interest,NEXONEXO,0.06233257,$0.1557809356183,approved / 0.00009228 ETH,$3484.50,2021-03-29 01:00:03
NXTwL3Qo42eWi,Interest,NEXONEXO,0.07199204,$0.1799217864476,approved / 0.15259144 EURx,$3484.50,2021-03-29 01:00:03
NXTEvyMIXKPDt,Interest,NEXONEXO,0.10460534,$0.2614286196746,approved / 0.00000468 BTC,$3484.50,2021-03-29 01:00:03
NXTWrDuGEx74v,Interest,USD,-0.57000000,$0.57,approved / Interest,$3484.50,2021-03-29 00:00:02
NXTvWfZYUYIDm,Interest,NEXONEXO,0.10138451,$0.26246614579369,approved / 0.00000468 BTC,$3483.93,2021-03-28 01:00:03
NXT4lRJbnI7lh,Interest,NEXONEXO,0.01859210,$0.0481315817299,approved / 0.03490076 GBPx,$3483.93,2021-03-28 01:00:03
NXTgqPEiRaZRC,Interest,NEXONEXO,0.06121599,$0.15847711801581,approved / 0.00009228 ETH,$3483.93,2021-03-28 01:00:03
NXTptEp5Hqgof,Interest,NEXONEXO,0.06969654,$0.18043172698626,approved / 0.15259144 EURx,$3483.93,2021-03-28 01:00:03
NXT6vMIvHkSOY,Interest,USD,-0.57000000,$0.57,approved / Interest,$3483.93,2021-03-28 00:00:02
NXTBtKaWKaRPV,Interest,NEXONEXO,0.09717647,$0.25851098337634,approved / 0.00000468 BTC,$3483.36,2021-03-27 01:00:02
NXT3r0Vf3rLuW,Interest,NEXONEXO,0.01808330,$0.0481055924926,approved / 0.03490076 GBPx,$3483.36,2021-03-27 01:00:02
NXTE6HlDw8DKv,Interest,NEXONEXO,0.06765213,$0.17996968457286,approved / 0.15259144 EURx,$3483.36,2021-03-27 01:00:02
NXTwVsLF2NUWE,Interest,NEXONEXO,0.05907362,$0.15714894354364,approved / 0.00009228 ETH,$3483.36,2021-03-27 01:00:02
NXTJiQJWLHWyM,Interest,USD,-0.57000000,$0.57,approved / Interest,$3483.36,2021-03-27 00:00:02
NXT0iXn8lHUca,Interest,NEXONEXO,0.07354966,$0.17969380797458,approved / 0.15259144 EURx,$3482.79,2021-03-26 01:00:03
NXTbuNe7hr00w,Interest,NEXONEXO,0.06027819,$0.14726944351497,approved / 0.00009228 ETH,$3482.79,2021-03-26 01:00:03
NXTA9FgsWV2Kx,Interest,NEXONEXO,0.09923042,$0.24243609061846,approved / 0.00000468 BTC,$3482.79,2021-03-26 01:00:03
NXTPTtD4XZWC0,Interest,NEXONEXO,0.01963988,$0.04798342814044,approved / 0.03490076 GBPx,$3482.79,2021-03-26 01:00:03
NXTCTMqf9tvbN,Interest,USD,-0.57000000,$0.57,approved / Interest,$3482.79,2021-03-26 00:00:01
NXTYP7M6Rv1tR,Interest,NEXONEXO,0.02035164,$0.04777260531876,approved / 0.03490076 GBPx,$3482.22,2021-03-25 01:00:02
NXTAbSiay1ZAH,Interest,NEXONEXO,0.10540172,$0.24741567605748,approved / 0.00000468 BTC,$3482.22,2021-03-25 01:00:02
NXTyILivfYAwg,Interest,NEXONEXO,0.07678927,$0.18025198403793,approved / 0.15259144 EURx,$3482.22,2021-03-25 01:00:02
NXTnJ3pqGtcNM,Interest,NEXONEXO,0.06266793,$0.14710412949687,approved / 0.00009228 ETH,$3482.22,2021-03-25 01:00:02
NXT8IedPyFsu4,Interest,USD,-0.57000000,$0.57,approved / Interest,$3482.22,2021-03-25 00:00:02
NXTdCg0vVrU0U,Interest,NEXONEXO,0.10453891,$0.25664323312782,approved / 0.00000468 BTC,$3481.65,2021-03-24 01:00:02
NXTG6DHrHDFO1,Interest,NEXONEXO,0.07359097,$0.18066597853194,approved / 0.15259144 EURx,$3481.65,2021-03-24 01:00:02
NXTFmtgmwvRcE,Interest,NEXONEXO,0.06310234,$0.15491637090468,approved / 0.00009228 ETH,$3481.65,2021-03-24 01:00:02
NXTjFj3yx3fHO,Interest,NEXONEXO,0.01951847,$0.04791788288694,approved / 0.03490076 GBPx,$3481.65,2021-03-24 01:00:02
NXTNCN7Cj7xJI,Interest,USD,-0.57000000,$0.57,approved / Interest,$3481.65,2021-03-24 00:00:01
NXTduifHebVXp,Interest,NEXONEXO,0.01959880,$0.0483781874888,approved / 0.03490076 GBPx,$3481.08,2021-03-23 01:00:03
NXTNe8LsefcNP,Interest,NEXONEXO,0.10357191,$0.25565959551366,approved / 0.00000468 BTC,$3481.08,2021-03-23 01:00:03
NXTqbhyJs2K6K,Interest,NEXONEXO,0.06323338,$0.15608691925988,approved / 0.00009228 ETH,$3481.08,2021-03-23 01:00:03
NXTypyCrbF7ll,Interest,NEXONEXO,0.07376461,$0.18208248120386,approved / 0.15259144 EURx,$3481.08,2021-03-23 01:00:03
NXTqnQfhUZ40R,Interest,USD,-0.57000000,$0.57,approved / Interest,$3481.08,2021-03-23 00:00:02
NXTpDlOpfNBpn,Interest,NEXONEXO,0.09973047,$0.26969821783737,approved / 0.00000468 BTC,$3480.51,2021-03-22 01:00:03
NXTouRnlL5O40,Interest,NEXONEXO,0.06102491,$0.16502789439061,approved / 0.00009228 ETH,$3480.51,2021-03-22 01:00:03
NXTAKx664UWEB,Interest,NEXONEXO,0.01785095,$0.04827380640745,approved / 0.03490076 GBPx,$3480.51,2021-03-22 01:00:03
NXTsRE52qRzdh,Interest,NEXONEXO,0.06704937,$0.18131966685927,approved / 0.15259144 EURx,$3480.51,2021-03-22 01:00:03
NXTBO3sO5D2sY,Interest,USD,-0.57000000,$0.57,approved / Interest,$3480.51,2021-03-22 00:00:02
NXTMdaKzYb1pK,Interest,NEXONEXO,0.06722071,$0.18232387448507,approved / 0.15259144 EURx,$3479.94,2021-03-21 01:00:03
NXTgQwvg3tWZR,Interest,NEXONEXO,0.10080060,$0.2734031809902,approved / 0.00000468 BTC,$3479.94,2021-03-21 01:00:03
NXTe3naVJPC0S,Interest,NEXONEXO,0.06167469,$0.16728131015673,approved / 0.00009228 ETH,$3479.94,2021-03-21 01:00:03
NXTXqYMyjGS5z,Interest,NEXONEXO,0.01784722,$0.04840731820874,approved / 0.03490076 GBPx,$3479.94,2021-03-21 01:00:03
NXTEEuTfqUhFz,Interest,USD,-0.57000000,$0.57,approved / Interest,$3479.94,2021-03-21 00:00:02
NXTTX52iDYKEI,TransferOut,BCH,-0.17581209,$95.38548161144,approved / Transfer from Savings Wallet to Credit Line Wallet,$3479.37,2021-03-20 08:27:39
NXTufZnokKgMh,LockingTermDeposit,LTC,-0.80000000,$162.4240848,approved / Transfer from Savings Wallet to Term Wallet,$3479.37,2021-03-20 08:26:43
NXTy7nMnf1fNH,TransferIn,LTC,0.80000000,$162.4240848,approved / Transfer from Credit Line Wallet to Savings Wallet,$3479.37,2021-03-20 08:26:30
NXTtr0RzdHMef,TransferIn,BCH,0.17581209,$95.390162432524,approved / Transfer from Credit Line Wallet to Savings Wallet,$3479.37,2021-03-20 08:25:04
NXTYoNT1opepO,TransferOut,BCH,-0.17581209,$95.442442443043,approved / Transfer from Savings Wallet to Credit Line Wallet,$3479.37,2021-03-20 08:21:07
NXTKgBc1plv1H,TransferIn,BCH,0.17581209,$95.423382654366,approved / Transfer from Credit Line Wallet to Savings Wallet,$3479.37,2021-03-20 08:18:48
NXTRacjzf9t2R,LockingTermDeposit,LINK,-3.71248531,$114.61590052428,approved / Transfer from Savings Wallet to Term Wallet,$3479.37,2021-03-20 08:17:48
NXTCxB8EtKdI5,TransferIn,LINK,3.71248531,$114.65037095038,approved / Transfer from Credit Line Wallet to Savings Wallet,$3479.37,2021-03-20 08:17:31
NXTSsLXmOAPBz,Interest,NEXONEXO,0.01718984,$0.04840729422344,approved / 0.03490076 GBPx,$3479.37,2021-03-20 01:00:03
NXTedO3bcjoR7,Interest,NEXONEXO,0.06473391,$0.18229334465031,approved / 0.15259144 EURx,$3479.37,2021-03-20 01:00:03
NXTRJlYQkjOL2,Interest,NEXONEXO,0.09714274,$0.27355793869234,approved / 0.00000468 BTC,$3479.37,2021-03-20 01:00:03
NXToBTOjFlRkp,Interest,NEXONEXO,0.05956652,$0.16774176254732,approved / 0.00009228 ETH,$3479.37,2021-03-20 01:00:03
NXTMjRaFYkJaI,Interest,USD,-0.57000000,$0.57,approved / Interest,$3479.37,2021-03-20 00:00:01
NXTzaZ4yQTXb2,Interest,NEXONEXO,0.05999899,$0.16455400996087,approved / 0.00009228 ETH,$3478.80,2021-03-19 01:00:03
NXTXfExG6B1HU,Interest,NEXONEXO,0.01772186,$0.04860420362018,approved / 0.03490076 GBPx,$3478.80,2021-03-19 01:00:03
NXTQdQNuOyxez,Interest,NEXONEXO,0.09891333,$0.27128098473129,approved / 0.00000468 BTC,$3478.80,2021-03-19 01:00:03
NXTYrgcS8BlKQ,Interest,NEXONEXO,0.06631353,$0.18187234945389,approved / 0.15259144 EURx,$3478.80,2021-03-19 01:00:03
NXTbjsG4pUdZJ,Interest,USD,-0.57000000,$0.57,approved / Interest,$3478.80,2021-03-19 00:00:02
NXTmlv9eWjnqY,LockingTermDeposit,PAXG,-0.03099380,$54.279859891393,approved / Transfer from Savings Wallet to Term Wallet,$3478.23,2021-03-18 05:56:53
NXTtgMHcM7lri,TransferIn,PAXG,0.03099380,$54.279859891393,approved / Transfer from Credit Line Wallet to Savings Wallet,$3478.23,2021-03-18 05:56:29
NXTNSVFsgXnIf,LockingTermDeposit,NEXOBNB,-1.07652080,$294.65963778961,approved / Transfer from Savings Wallet to Term Wallet,$3478.23,2021-03-18 05:53:23
NXT7BuwTgbu8F,TransferIn,BNB,1.07652080,$294.22410653999,approved / Transfer from Credit Line Wallet to Savings Wallet,$3478.23,2021-03-18 05:50:38
NXTyT7NTGxk44,Interest,NEXONEXO,0.06126983,$0.16827936492007,approved / 0.00009228 ETH,$3478.23,2021-03-18 01:00:03
NXTyyN8E3jG0J,Interest,NEXONEXO,0.06657189,$0.18284162646981,approved / 0.15259144 EURx,$3478.23,2021-03-18 01:00:03
NXTjiIKKdKOiN,Interest,NEXONEXO,0.10049624,$0.27601583755096,approved / 0.00000468 BTC,$3478.23,2021-03-18 01:00:03
NXTZ2K2JYxduq,Interest,NEXONEXO,0.01775755,$0.04877162604395,approved / 0.03490076 GBPx,$3478.23,2021-03-18 01:00:03
NXTTK77EvdRgH,Interest,USD,-0.57000000,$0.57,approved / Interest,$3478.23,2021-03-18 00:00:02
NXTLZM6aRVSbq,Interest,NEXONEXO,0.09847053,$0.26536655729799,approved / 0.00000468 BTC,$3477.66,2021-03-17 01:00:03
NXTQ25B4vjTUu,Interest,NEXONEXO,0.06738826,$0.18160347627358,approved / 0.15259144 EURx,$3477.66,2021-03-17 01:00:03
NXThoQkkHxuU3,Interest,NEXONEXO,0.06163964,$0.16611161796212,approved / 0.00009228 ETH,$3477.66,2021-03-17 01:00:03
NXTMlnlmTWCem,Interest,NEXONEXO,0.01800340,$0.0485170566022,approved / 0.03490076 GBPx,$3477.66,2021-03-17 01:00:03
NXT2eu7inyvsX,Interest,USD,-0.57000000,$0.57,approved / Interest,$3477.66,2021-03-17 00:00:01
NXTkGa3buxBZ0,Interest,NEXONEXO,0.07063768,$0.18197170530304,approved / 0.15259144 EURx,$3477.09,2021-03-16 01:00:03
NXThos08ZnEQu,Interest,NEXONEXO,0.01882901,$0.04850593987328,approved / 0.03490076 GBPx,$3477.09,2021-03-16 01:00:03
NXT4gZqR4pHqh,Interest,NEXONEXO,0.06418742,$0.16535500990976,approved / 0.00009228 ETH,$3477.09,2021-03-16 01:00:03
NXTO647kfAMFu,Interest,NEXONEXO,0.10174634,$0.26211159537152,approved / 0.00000468 BTC,$3477.09,2021-03-16 01:00:03
NXTTPxoqhdBct,Interest,USD,-0.57000000,$0.57,approved / Interest,$3477.09,2021-03-16 00:00:02
NXT9YhDYjRMWr,Interest,NEXONEXO,0.06663822,$0.17123663547012,approved / 0.00009228 ETH,$3476.52,2021-03-15 01:00:03
NXTz9DnWiDwSt,Interest,NEXONEXO,0.10828605,$0.2782568152383,approved / 0.00000468 BTC,$3476.52,2021-03-15 01:00:03
NXTrc9TQEGMu9,Interest,NEXONEXO,0.01891778,$0.04861199770588,approved / 0.03490076 GBPx,$3476.52,2021-03-15 01:00:03
NXTv4N2P8xLuj,Interest,NEXONEXO,0.07095844,$0.18233807151224,approved / 0.15259144 EURx,$3476.52,2021-03-15 01:00:03
NXTe1odxT9doA,Interest,USD,-0.57000000,$0.57,approved / Interest,$3476.52,2021-03-15 00:00:01
NXThp5FZnW2J4,Interest,NEXONEXO,0.11326053,$0.2871426260772,approved / 0.00000468 BTC,$3475.95,2021-03-14 01:00:03
NXT4sjFYl1ntJ,Interest,NEXONEXO,0.01916262,$0.0485818407288,approved / 0.03490076 GBPx,$3475.95,2021-03-14 01:00:03
NXTqkXOYly45C,Interest,NEXONEXO,0.07005915,$0.177616759446,approved / 0.00009228 ETH,$3475.95,2021-03-14 01:00:03
NXTNTeB3EJYaU,Interest,NEXONEXO,0.07194436,$0.1823962192464,approved / 0.15259144 EURx,$3475.95,2021-03-14 01:00:03
NXT03eObpQXvt,Interest,USD,-0.57000000,$0.57,approved / Interest,$3475.95,2021-03-14 00:00:01
NXTKl0KzA6KC9,TransferIn,BTC,0.00220025,$131.11503948518,approved / Transfer from Credit Line Wallet to Savings Wallet,$3475.38,2021-03-13 12:05:23
NXTnRJHKrN3js,Interest,NEXONEXO,0.02033771,$0.04858142003456,approved / 0.03490076 GBPx,$3475.38,2021-03-13 01:00:03
NXTYCySekVLyp,Interest,NEXONEXO,0.06851088,$0.16365440544768,approved / 0.00009228 ETH,$3475.38,2021-03-13 01:00:03
NXTzLTDlHHi7E,Interest,NEXONEXO,0.07635793,$0.18239893627648,approved / 0.15259144 EURx,$3475.38,2021-03-13 01:00:03
NXTK4mbelRcAi,Interest,NEXONEXO,0.10244857,$0.24472258730752,approved / 0.00000426 BTC,$3475.38,2021-03-13 01:00:03
NXTjYBDaudD5p,Interest,USD,-0.57000000,$0.57,approved / Interest,$3475.38,2021-03-13 00:00:01
NXT5cKjLHfOyc,TransferIn,BTC,0.00100000,$56.75074175,approved / Transfer from Credit Line Wallet to Savings Wallet,$3474.81,2021-03-12 05:54:43
NXTLtdT2NvRgX,Interest,NEXONEXO,0.09610935,$0.23553335796735,approved / 0.00000407 BTC,$3474.81,2021-03-12 01:00:03
NXT3x5itskS3p,Interest,NEXONEXO,0.07462213,$0.18287503617053,approved / 0.15259144 EURx,$3474.81,2021-03-12 01:00:03
NXTagCVOL5wZ7,Interest,NEXONEXO,0.01992228,$0.04882315307268,approved / 0.03490076 GBPx,$3474.81,2021-03-12 01:00:03
NXT7PJHsnRR4P,Interest,NEXONEXO,0.06875978,$0.16850828641018,approved / 0.00009228 ETH,$3474.81,2021-03-12 01:00:03
NXT2R70KgUvyl,Interest,USD,-0.57000000,$0.57,approved / Interest,$3474.81,2021-03-12 00:00:02
NXTdlb4nECLhF,InterestAdditional,USD,-0.13222841,$0.13222841308102,approved / Interest,$3474.24,2021-03-11 05:48:54
NXT1RsGuqHip4,Repayment,USD,200.04240000,$200.0424,approved / Crypto Repayment,$3474.11,2021-03-11 05:48:54
NXTP89T2SN5wt,Liquidation,USDTERC,-200.00000000,$200.0424,approved / Crypto Repayment,$3674.15,2021-03-11 05:48:49
NXT9sn5R8IOCS,Interest,NEXONEXO,0.06817283,$0.16600786285149,approved / 0.00009228 ETH,$3674.15,2021-03-11 01:00:03
NXTGAb1GJ6kg2,Interest,NEXONEXO,0.09371280,$0.2282003204184,approved / 0.00000407 BTC,$3674.15,2021-03-11 01:00:03
NXTPigMNw8Nzk,Interest,NEXONEXO,0.07472365,$0.18195978428595,approved / 0.15259144 EURx,$3674.15,2021-03-11 01:00:03
NXT5zsU01VVok,Interest,NEXONEXO,0.01996580,$0.0486187794774,approved / 0.03490076 GBPx,$3674.15,2021-03-11 01:00:03
NXT2VhTUxKP0w,Interest,USD,-0.60000000,$0.6,approved / Interest,$3674.15,2021-03-11 00:00:02
NXT9CxyCVEEQH,TransferOut,USDTERC,-235.14990700,$235.25642990787,approved / Transfer from Savings Wallet to Credit Line Wallet,$3673.55,2021-03-10 19:44:46
NXTvtLT1dDoKC,ExchangeSell,XLMUSDTERC,-566.00000000,$237.452848,approved / Exchange Stellar to Tether,$3673.55,2021-03-10 19:44:00
NXTs7oIyOF1Xp,Deposit,XLM,566.00000000,$237.181168,approved / 5eb247005a970f002fa67bdf37e42dbc824538ee3e058b6fe2466060aeb6e73e,$3673.55,2021-03-10 19:41:18
NXTdhjMhfcPck,TransferIn,BTC,0.00100000,$53.599973199,approved / Transfer from Credit Line Wallet to Savings Wallet,$3673.55,2021-03-10 05:50:47
NXT6AMA9asHT8,Interest,NEXONEXO,0.01926418,$0.04847362777426,approved / 0.03490076 GBPx,$3673.55,2021-03-10 01:00:02
NXT2HRYiU5P5Q,Interest,NEXONEXO,0.07214970,$0.1815471876729,approved / 0.15259144 EURx,$3673.55,2021-03-10 01:00:02
NXTE9rVvaStvt,Interest,NEXONEXO,0.08457954,$0.21282385958178,approved / 0.00000388 BTC,$3673.55,2021-03-10 01:00:02
NXTx4hqhTTh3R,Interest,NEXONEXO,0.06849752,$0.17235736418264,approved / 0.00009228 ETH,$3673.55,2021-03-10 01:00:02
NXTVhEkWN8BS1,Interest,USD,-0.60000000,$0.6,approved / Interest,$3673.55,2021-03-10 00:00:02
NXTR9Dzmxkqdz,TransferIn,BTC,0.00100000,$54.105118919,approved / Transfer from Credit Line Wallet to Savings Wallet,$3672.95,2021-03-09 13:18:12
NXT0FKNkJBYmE,TransferIn,BTC,0.00100000,$53.770620284,approved / Transfer from Credit Line Wallet to Savings Wallet,$3672.95,2021-03-09 06:01:21
NXTLK0Hgvp6C6,Interest,NEXONEXO,0.07290052,$0.16935745792812,approved / 0.00009228 ETH,$3672.95,2021-03-09 01:00:03
NXTn9gxEhqgRC,Interest,NEXONEXO,0.07784391,$0.18084160048221,approved / 0.15259144 EURx,$3672.95,2021-03-09 01:00:03
NXT5JuqGz2XlF,Interest,NEXONEXO,0.07874211,$0.18292823674641,approved / 0.00000349 BTC,$3672.95,2021-03-09 01:00:03
NXTMHh47EDf2M,Interest,NEXONEXO,0.02076599,$0.04824211511469,approved / 0.03490076 GBPx,$3672.95,2021-03-09 01:00:03
NXTDmiVHbuYN1,Interest,USD,-0.60000000,$0.6,approved / Interest,$3672.95,2021-03-09 00:00:02
NXTrt3DL2Ofwy,TransferOut,XLM,-30.00000000,$12.42465,approved / Transfer from Savings Wallet to Credit Line Wallet,$3672.35,2021-03-08 07:23:23
NXTJ1XyRZB25N,Deposit,XLM,30.00000000,$12.43137,approved / bb87a0ccbf065fe8c4339cb10944a109783845d4f343f764869db2f68e09b11b,$3672.35,2021-03-08 07:22:16
NXTHOPGnL4OfJ,TransferOut,XRP,-3.50900000,$1.643022579,approved / Transfer from Savings Wallet to Credit Line Wallet,$3672.35,2021-03-08 07:17:33
NXTZzKCHoM9MU,Deposit,XRP,3.50900000,$1.643987554,approved / 040E379604689632476F7F1E85FDB6FD1E4608F1A99FC184178740FAB417C559,$3672.35,2021-03-08 07:12:49
NXT9tNrffIehA,Interest,NEXONEXO,0.02219175,$0.0483480561375,approved / 0.03490076 GBPx,$3672.35,2021-03-08 01:00:03
NXTV7x0JwE4gt,Interest,NEXONEXO,0.08228125,$0.1792620453125,approved / 0.00000349 BTC,$3672.35,2021-03-08 01:00:03
NXT3YlClDLpBM,Interest,NEXONEXO,0.07298368,$0.159005894432,approved / 0.00009228 ETH,$3672.35,2021-03-08 01:00:03
NXTJySwlOcxU0,Interest,NEXONEXO,0.08352351,$0.1819684950615,approved / 0.15259144 EURx,$3672.35,2021-03-08 01:00:03
NXTpyQNISF65N,Interest,USD,-0.60000000,$0.6,approved / Interest,$3672.35,2021-03-08 00:00:02
