,Date,Type,Currency,Amount,USD,Loan,Details
35,2021-04-16 01:00:02+00:00,Interest,NEXO,0.06733508,0.26,3391.22,approved / 0.00000403 BTC
36,2021-04-16 01:00:02+00:00,Interest,NEXO,0.04828015,0.19,3391.22,approved / 0.00007234 ETH
37,2021-04-16 01:00:02+00:00,Interest,NEXO,0.07790675,0.3,3391.22,approved / 0.24709328 EURx
38,2021-04-16 00:00:02+00:00,Interest,USD,-0.56,0.56,3391.22,approved / Interest
39,2021-04-15 01:00:03+00:00,Interest,NEXO,0.0696187,0.26,3390.66,approved / 0.00000403 BTC
40,2021-04-15 01:00:03+00:00,Interest,NEXO,0.04820887,0.18,3390.66,approved / 0.00007234 ETH
41,2021-04-15 01:00:03+00:00,Interest,NEXO,0.08118726,0.3,3390.66,approved / 0.24709328 EURx
42,2021-04-15 00:00:02+00:00,Interest,USD,-0.56,0.56,3390.66,approved / Interest
43,2021-04-14 01:00:03+00:00,Interest,NEXO,0.07570535,0.26,3390.1,approved / 0.00000403 BTC
44,2021-04-14 01:00:03+00:00,Interest,NEXO,0.04906575,0.17,3390.1,approved / 0.00007234 ETH
45,2021-04-14 01:00:03+00:00,Interest,NEXO,0.0875156,0.3,3390.1,approved / 0.24709328 EURx
46,2021-04-14 00:00:02+00:00,Interest,USD,-0.56,0.56,3390.1,approved / Interest
47,2021-04-13 01:00:03+00:00,Interest,NEXO,0.07585162,0.25,3389.54,approved / 0.00000403 BTC
48,2021-04-13 01:00:03+00:00,Interest,NEXO,0.04872127,0.16,3389.54,approved / 0.00007234 ETH
49,2021-04-13 01:00:03+00:00,Interest,NEXO,0.09216774,0.3,3389.54,approved / 0.24709328 EURx
50,2021-04-13 00:00:02+00:00,Interest,USD,-0.56,0.56,3389.54,approved / Interest
51,2021-04-12 20:57:04+00:00,Repayment,USD,3.33134602,3.34,3388.98,approved / Crypto Repayment
52,2021-04-12 20:56:56+00:00,Liquidation,NEXO,-1.06159091,3.36,3392.31,approved / Crypto Repayment
53,2021-04-12 01:00:03+00:00,Interest,NEXO,0.0820349,0.25,3392.31,approved / 0.00000403 BTC
54,2021-04-12 01:00:03+00:00,Interest,NEXO,0.05252518,0.16,3392.31,approved / 0.00007234 ETH
55,2021-04-12 01:00:03+00:00,Interest,NEXO,0.09939355,0.3,3392.31,approved / 0.24709328 EURx
56,2021-04-12 00:00:02+00:00,Interest,USD,-0.56,0.56,3392.31,approved / Interest
57,2021-04-11 01:00:03+00:00,Interest,NEXO,0.08332602,0.24,3391.75,approved / 0.00000403 BTC
58,2021-04-11 01:00:03+00:00,Interest,NEXO,0.05344868,0.16,3391.75,approved / 0.00007234 ETH
59,2021-04-11 01:00:03+00:00,Interest,NEXO,0.1026976,0.3,3391.75,approved / 0.24709328 EURx
60,2021-04-11 00:00:02+00:00,Interest,USD,-0.56,0.56,3391.75,approved / Interest
61,2021-04-10 01:00:03+00:00,Interest,NEXO,0.08213423,0.24,3391.19,approved / 0.00000403 BTC
62,2021-04-10 01:00:03+00:00,Interest,NEXO,0.05241596,0.15,3391.19,approved / 0.00007234 ETH
63,2021-04-10 01:00:03+00:00,Interest,NEXO,0.10292677,0.3,3391.19,approved / 0.24709328 EURx
64,2021-04-10 00:00:02+00:00,Interest,USD,-0.56,0.56,3391.19,approved / Interest
65,2021-04-09 01:00:03+00:00,Interest,NEXO,0.0833487,0.24,3390.63,approved / 0.00000403 BTC
66,2021-04-09 01:00:03+00:00,Interest,NEXO,0.05349249,0.15,3390.63,approved / 0.00007234 ETH
67,2021-04-09 01:00:03+00:00,Interest,NEXO,0.10507135,0.3,3390.63,approved / 0.24709328 EURx
68,2021-04-09 00:00:02+00:00,Interest,USD,-0.56,0.56,3390.63,approved / Interest
69,2021-04-08 01:00:03+00:00,Interest,NEXO,0.08365605,0.23,3390.07,approved / 0.00000403 BTC
70,2021-04-08 01:00:03+00:00,Interest,NEXO,0.05338224,0.15,3390.07,approved / 0.00007234 ETH
71,2021-04-08 01:00:03+00:00,Interest,NEXO,0.10761391,0.3,3390.07,approved / 0.24709328 EURx
72,2021-04-08 00:00:01+00:00,Interest,USD,-0.56,0.56,3390.07,approved / Interest
73,2021-04-07 05:45:32+00:00,LockingTermDeposit,GBP,-205.84,284.61,3389.51,approved / Transfer from Savings Wallet to Term Wallet
74,2021-04-07 01:00:03+00:00,Interest,NEXO,0.08128892,0.24,3389.51,approved / 0.00000403 BTC
75,2021-04-07 01:00:03+00:00,Interest,NEXO,0.05319405,0.16,3389.51,approved / 0.00007234 ETH
76,2021-04-07 01:00:03+00:00,Interest,NEXO,0.02164007,0.07,3389.51,approved / 0.04511758 GBPx
77,2021-04-07 01:00:03+00:00,Interest,NEXO,0.10179124,0.3,3389.51,approved / 0.24709328 EURx
78,2021-04-07 00:00:02+00:00,Interest,USD,-0.56,0.56,3389.51,approved / Interest
79,2021-04-06 13:57:55+00:00,TransferOut,USDT,-140.561076,140.73,3388.95,approved / Transfer from Savings Wallet to Credit Line Wallet
80,2021-04-06 13:56:45+00:00,Repayment,USD,100.1115,100.12,3388.95,approved / Crypto Repayment
81,2021-04-06 13:56:39+00:00,Liquidation,USDT,-100.0,100.12,3489.06,approved / Crypto Repayment
82,2021-04-06 13:55:37+00:00,ExchangeSell,USDT,-50.0,143.23,3489.06,approved / Exchange NEXO Token to Tether
83,2021-04-06 13:54:52+00:00,TransferIn,NEXO,50.0,143.23,3489.06,approved / Transfer from Credit Line Wallet to Savings Wallet
84,2021-04-06 13:17:57+00:00,TransferOut,PAX,-322.13244827,322.52,3489.06,approved / Transfer from Savings Wallet to Credit Line Wallet
85,2021-04-06 13:16:48+00:00,TransferIn,PAX,183.08661089,183.3,3489.06,approved / Transfer from Credit Line Wallet to Savings Wallet
86,2021-04-06 13:16:11+00:00,ExchangeSell,PAX,-0.0665,140.46,3489.06,approved / Exchange Ether to Paxos Standard
87,2021-04-06 13:15:16+00:00,ExchangeSell,ETH,-50.0,143.21,3489.06,approved / Exchange NEXO Token to Ether
88,2021-04-06 13:14:45+00:00,TransferIn,NEXO,50.0,143.21,3489.06,approved / Transfer from Credit Line Wallet to Savings Wallet
89,2021-04-06 13:09:41+00:00,ExchangeSell,EUR,-0.002398,140.63,3489.06,approved / Exchange Bitcoin to EUR
90,2021-04-06 13:08:14+00:00,ExchangeSell,BTC,-50.0,143.56,3489.06,approved / Exchange NEXO Token to Bitcoin
91,2021-04-06 13:06:24+00:00,TransferOut,USDT,-140.279702,140.4,3489.06,approved / Transfer from Savings Wallet to Credit Line Wallet
92,2021-04-06 13:04:43+00:00,ExchangeSell,USDT,-50.0,143.37,3489.06,approved / Exchange NEXO Token to Tether
93,2021-04-06 13:03:33+00:00,TransferIn,NEXO,100.0,286.71,3489.06,approved / Transfer from Credit Line Wallet to Savings Wallet
94,2021-04-06 01:00:03+00:00,Interest,NEXO,0.08378573,0.24,3489.06,approved / 0.00000403 BTC
95,2021-04-06 01:00:03+00:00,Interest,NEXO,0.05397477,0.16,3489.06,approved / 0.00007234 ETH
96,2021-04-06 01:00:03+00:00,Interest,NEXO,0.02211964,0.07,3489.06,approved / 0.04511758 GBPx
97,2021-04-06 01:00:03+00:00,Interest,NEXO,0.09212152,0.27,3489.06,approved / 0.22127317 EURx
98,2021-04-06 00:00:02+00:00,Interest,USD,-0.57,0.57,3489.06,approved / Interest
99,2021-04-05 01:00:03+00:00,Interest,NEXO,0.08549178,0.24,3488.49,approved / 0.00000403 BTC
100,2021-04-05 01:00:03+00:00,Interest,NEXO,0.05454228,0.16,3488.49,approved / 0.00007234 ETH
101,2021-04-05 01:00:03+00:00,Interest,NEXO,0.02257274,0.07,3488.49,approved / 0.04511758 GBPx
102,2021-04-05 01:00:03+00:00,Interest,NEXO,0.09420086,0.27,3488.49,approved / 0.22127317 EURx
103,2021-04-05 00:00:02+00:00,Interest,USD,-0.57,0.57,3488.49,approved / Interest
104,2021-04-04 01:00:03+00:00,Interest,NEXO,0.08673568,0.24,3487.92,approved / 0.00000403 BTC
105,2021-04-04 01:00:03+00:00,Interest,NEXO,0.0549881,0.15,3487.92,approved / 0.00007234 ETH
106,2021-04-04 01:00:03+00:00,Interest,NEXO,0.0231002,0.07,3487.92,approved / 0.04511758 GBPx
107,2021-04-04 01:00:03+00:00,Interest,NEXO,0.0963292,0.27,3487.92,approved / 0.22127317 EURx
108,2021-04-04 00:00:02+00:00,Interest,USD,-0.57,0.57,3487.92,approved / Interest
109,2021-04-03 01:00:03+00:00,Interest,NEXO,0.08465832,0.24,3487.35,approved / 0.00000403 BTC
110,2021-04-03 01:00:03+00:00,Interest,NEXO,0.05434973,0.16,3487.35,approved / 0.00007234 ETH
111,2021-04-03 01:00:03+00:00,Interest,NEXO,0.02210659,0.07,3487.35,approved / 0.04511758 GBPx
112,2021-04-03 01:00:03+00:00,Interest,NEXO,0.09219193,0.27,3487.35,approved / 0.22127317 EURx
113,2021-04-03 00:00:02+00:00,Interest,USD,-0.57,0.57,3487.35,approved / Interest
114,2021-04-02 01:00:03+00:00,Interest,NEXO,0.08620456,0.24,3486.78,approved / 0.00000403 BTC
115,2021-04-02 01:00:03+00:00,Interest,NEXO,0.05158988,0.15,3486.78,approved / 0.00007234 ETH
116,2021-04-02 01:00:03+00:00,Interest,NEXO,0.02250524,0.07,3486.78,approved / 0.04511758 GBPx
117,2021-04-02 01:00:03+00:00,Interest,NEXO,0.0939735,0.27,3486.78,approved / 0.22127317 EURx
118,2021-04-02 00:00:02+00:00,Interest,USD,-0.57,0.57,3486.78,approved / Interest
119,2021-04-01 04:30:03+00:00,TransferOut,NEXO,-0.50169487,1.4,3486.21,approved / Transfer from Savings Wallet to Credit Line Wallet
120,2021-04-01 01:00:02+00:00,Interest,NEXO,0.08603582,0.24,3486.21,approved / 0.00000403 BTC
121,2021-04-01 01:00:02+00:00,Interest,NEXO,0.05016298,0.14,3486.21,approved / 0.00007234 ETH
122,2021-04-01 01:00:02+00:00,Interest,NEXO,0.02253753,0.07,3486.21,approved / 0.04511758 GBPx
123,2021-04-01 01:00:02+00:00,Interest,NEXO,0.09402468,0.26,3486.21,approved / 0.22127317 EURx
124,2021-04-01 00:00:02+00:00,Interest,USD,-0.57,0.57,3486.21,approved / Interest
125,2021-03-31 01:00:02+00:00,Interest,NEXO,0.08539534,0.24,3485.64,approved / 0.00000403 BTC
126,2021-03-31 01:00:02+00:00,Interest,NEXO,0.04799974,0.14,3485.64,approved / 0.00007234 ETH
127,2021-03-31 01:00:02+00:00,Interest,NEXO,0.02229257,0.07,3485.64,approved / 0.04511758 GBPx
128,2021-03-31 01:00:02+00:00,Interest,NEXO,0.09324621,0.26,3485.64,approved / 0.22127317 EURx
129,2021-03-31 00:00:02+00:00,Interest,USD,-0.57,0.57,3485.64,approved / Interest
130,2021-03-30 05:21:51+00:00,ExchangeSell,GBP,-0.017,30.61,3485.07,approved / Exchange Ether to GBP
131,2021-03-30 05:20:16+00:00,ExchangeSell,GBP,-0.0006,34.46,3485.07,approved / Exchange Bitcoin to GBP
132,2021-03-30 05:17:55+00:00,ExchangeSell,EUR,-0.027,48.7,3485.07,approved / Exchange Ether to EUR
133,2021-03-30 05:16:25+00:00,ExchangeSell,EUR,-0.0008253,47.41,3485.07,approved / Exchange Bitcoin to EUR
134,2021-03-30 05:13:32+00:00,TransferOut,NEXO,-0.25402923,0.68,3485.07,approved / Transfer from Savings Wallet to Credit Line Wallet
135,2021-03-30 05:12:33+00:00,ExchangeSell,EUR,-0.06,108.03,3485.07,approved / Exchange Ether to EUR
136,2021-03-30 05:11:59+00:00,ExchangeSell,EUR,-0.002,114.94,3485.07,approved / Exchange Bitcoin to EUR
137,2021-03-30 01:00:03+00:00,Interest,NEXO,0.10155062,0.28,3485.07,approved / 0.00000468 BTC
138,2021-03-30 01:00:03+00:00,Interest,NEXO,0.06278574,0.17,3485.07,approved / 0.00009228 ETH
139,2021-03-30 01:00:03+00:00,Interest,NEXO,0.01800129,0.05,3485.07,approved / 0.03490076 GBPx
140,2021-03-30 01:00:03+00:00,Interest,NEXO,0.07169158,0.2,3485.07,approved / 0.16258524 EURx
141,2021-03-30 00:00:02+00:00,Interest,USD,-0.57,0.57,3485.07,approved / Interest
142,2021-03-29 19:46:13+00:00,TransferOut,NEXO,-1.0,2.5,3484.5,approved / Transfer from Savings Wallet to Credit Line Wallet
143,2021-03-29 19:44:50+00:00,ExchangeSell,EUR,-0.00094,54.48,3484.5,approved / Exchange Bitcoin to EUR
144,2021-03-29 19:42:46+00:00,ExchangeSell,BTC,-22.0,54.97,3484.5,approved / Exchange NEXO Token to Bitcoin
145,2021-03-29 19:41:12+00:00,TransferIn,NEXO,23.0,57.56,3484.5,approved / Transfer from Credit Line Wallet to Savings Wallet
146,2021-03-29 18:14:48+00:00,TransferOut,USDT,-85.88811182,85.92,3484.5,approved / Transfer from Savings Wallet to Credit Line Wallet
147,2021-03-29 18:13:46+00:00,TransferOut,NEXO,-0.73349673,1.9,3484.5,approved / Transfer from Savings Wallet to Credit Line Wallet
148,2021-03-29 18:13:07+00:00,ExchangeSell,USDT,-34.0,87.74,3484.5,approved / Exchange NEXO Token to Tether
149,2021-03-29 18:04:36+00:00,TransferIn,NEXO,10.20408701,26.49,3484.5,approved / Transfer from Credit Line Wallet to Savings Wallet
150,2021-03-29 17:52:22+00:00,TransferIn,NEXO,17.0,43.68,3484.5,approved / Transfer from Credit Line Wallet to Savings Wallet
151,2021-03-29 01:00:03+00:00,Interest,NEXO,0.10460534,0.27,3484.5,approved / 0.00000468 BTC
152,2021-03-29 01:00:03+00:00,Interest,NEXO,0.06233257,0.16,3484.5,approved / 0.00009228 ETH
153,2021-03-29 01:00:03+00:00,Interest,NEXO,0.01926249,0.05,3484.5,approved / 0.03490076 GBPx
154,2021-03-29 01:00:03+00:00,Interest,NEXO,0.07199204,0.18,3484.5,approved / 0.15259144 EURx
155,2021-03-29 00:00:02+00:00,Interest,USD,-0.57,0.57,3484.5,approved / Interest
156,2021-03-28 01:00:03+00:00,Interest,NEXO,0.10138451,0.27,3483.93,approved / 0.00000468 BTC
157,2021-03-28 01:00:03+00:00,Interest,NEXO,0.06121599,0.16,3483.93,approved / 0.00009228 ETH
158,2021-03-28 01:00:03+00:00,Interest,NEXO,0.0185921,0.05,3483.93,approved / 0.03490076 GBPx
159,2021-03-28 01:00:03+00:00,Interest,NEXO,0.06969654,0.19,3483.93,approved / 0.15259144 EURx
160,2021-03-28 00:00:02+00:00,Interest,USD,-0.57,0.57,3483.93,approved / Interest
161,2021-03-27 01:00:02+00:00,Interest,NEXO,0.09717647,0.26,3483.36,approved / 0.00000468 BTC
162,2021-03-27 01:00:02+00:00,Interest,NEXO,0.05907362,0.16,3483.36,approved / 0.00009228 ETH
163,2021-03-27 01:00:02+00:00,Interest,NEXO,0.0180833,0.05,3483.36,approved / 0.03490076 GBPx
164,2021-03-27 01:00:02+00:00,Interest,NEXO,0.06765213,0.18,3483.36,approved / 0.15259144 EURx
165,2021-03-27 00:00:02+00:00,Interest,USD,-0.57,0.57,3483.36,approved / Interest
166,2021-03-26 01:00:03+00:00,Interest,NEXO,0.09923042,0.25,3482.79,approved / 0.00000468 BTC
167,2021-03-26 01:00:03+00:00,Interest,NEXO,0.06027819,0.15,3482.79,approved / 0.00009228 ETH
168,2021-03-26 01:00:03+00:00,Interest,NEXO,0.01963988,0.05,3482.79,approved / 0.03490076 GBPx
169,2021-03-26 01:00:03+00:00,Interest,NEXO,0.07354966,0.18,3482.79,approved / 0.15259144 EURx
170,2021-03-26 00:00:01+00:00,Interest,USD,-0.57,0.57,3482.79,approved / Interest
171,2021-03-25 01:00:02+00:00,Interest,NEXO,0.10540172,0.25,3482.22,approved / 0.00000468 BTC
172,2021-03-25 01:00:02+00:00,Interest,NEXO,0.06266793,0.15,3482.22,approved / 0.00009228 ETH
173,2021-03-25 01:00:02+00:00,Interest,NEXO,0.02035164,0.05,3482.22,approved / 0.03490076 GBPx
174,2021-03-25 01:00:02+00:00,Interest,NEXO,0.07678927,0.19,3482.22,approved / 0.15259144 EURx
175,2021-03-25 00:00:02+00:00,Interest,USD,-0.57,0.57,3482.22,approved / Interest
176,2021-03-24 01:00:02+00:00,Interest,NEXO,0.10453891,0.26,3481.65,approved / 0.00000468 BTC
177,2021-03-24 01:00:02+00:00,Interest,NEXO,0.06310234,0.16,3481.65,approved / 0.00009228 ETH
178,2021-03-24 01:00:02+00:00,Interest,NEXO,0.01951847,0.05,3481.65,approved / 0.03490076 GBPx
179,2021-03-24 01:00:02+00:00,Interest,NEXO,0.07359097,0.19,3481.65,approved / 0.15259144 EURx
180,2021-03-24 00:00:01+00:00,Interest,USD,-0.57,0.57,3481.65,approved / Interest
181,2021-03-23 01:00:03+00:00,Interest,NEXO,0.10357191,0.26,3481.08,approved / 0.00000468 BTC
182,2021-03-23 01:00:03+00:00,Interest,NEXO,0.06323338,0.16,3481.08,approved / 0.00009228 ETH
183,2021-03-23 01:00:03+00:00,Interest,NEXO,0.0195988,0.05,3481.08,approved / 0.03490076 GBPx
184,2021-03-23 01:00:03+00:00,Interest,NEXO,0.07376461,0.19,3481.08,approved / 0.15259144 EURx
185,2021-03-23 00:00:02+00:00,Interest,USD,-0.57,0.57,3481.08,approved / Interest
186,2021-03-22 01:00:03+00:00,Interest,NEXO,0.09973047,0.27,3480.51,approved / 0.00000468 BTC
187,2021-03-22 01:00:03+00:00,Interest,NEXO,0.06102491,0.17,3480.51,approved / 0.00009228 ETH
188,2021-03-22 01:00:03+00:00,Interest,NEXO,0.01785095,0.05,3480.51,approved / 0.03490076 GBPx
189,2021-03-22 01:00:03+00:00,Interest,NEXO,0.06704937,0.19,3480.51,approved / 0.15259144 EURx
190,2021-03-22 00:00:02+00:00,Interest,USD,-0.57,0.57,3480.51,approved / Interest
191,2021-03-21 01:00:03+00:00,Interest,NEXO,0.1008006,0.28,3479.94,approved / 0.00000468 BTC
192,2021-03-21 01:00:03+00:00,Interest,NEXO,0.06167469,0.17,3479.94,approved / 0.00009228 ETH
193,2021-03-21 01:00:03+00:00,Interest,NEXO,0.01784722,0.05,3479.94,approved / 0.03490076 GBPx
194,2021-03-21 01:00:03+00:00,Interest,NEXO,0.06722071,0.19,3479.94,approved / 0.15259144 EURx
195,2021-03-21 00:00:02+00:00,Interest,USD,-0.57,0.57,3479.94,approved / Interest
196,2021-03-20 08:27:39+00:00,TransferOut,BCH,-0.17581209,95.39,3479.37,approved / Transfer from Savings Wallet to Credit Line Wallet
197,2021-03-20 08:26:43+00:00,LockingTermDeposit,LTC,-0.8,162.43,3479.37,approved / Transfer from Savings Wallet to Term Wallet
198,2021-03-20 08:26:30+00:00,TransferIn,LTC,0.8,162.43,3479.37,approved / Transfer from Credit Line Wallet to Savings Wallet
199,2021-03-20 08:25:04+00:00,TransferIn,BCH,0.17581209,95.4,3479.37,approved / Transfer from Credit Line Wallet to Savings Wallet
200,2021-03-20 08:21:07+00:00,TransferOut,BCH,-0.17581209,95.45,3479.37,approved / Transfer from Savings Wallet to Credit Line Wallet
201,2021-03-20 08:18:48+00:00,TransferIn,BCH,0.17581209,95.43,3479.37,approved / Transfer from Credit Line Wallet to Savings Wallet
202,2021-03-20 08:17:48+00:00,LockingTermDeposit,LINK,-3.71248531,114.62,3479.37,approved / Transfer from Savings Wallet to Term Wallet
203,2021-03-20 08:17:31+00:00,TransferIn,LINK,3.71248531,114.66,3479.37,approved / Transfer from Credit Line Wallet to Savings Wallet
204,2021-03-20 01:00:03+00:00,Interest,NEXO,0.09714274,0.28,3479.37,approved / 0.00000468 BTC
205,2021-03-20 01:00:03+00:00,Interest,NEXO,0.05956652,0.17,3479.37,approved / 0.00009228 ETH
206,2021-03-20 01:00:03+00:00,Interest,NEXO,0.01718984,0.05,3479.37,approved / 0.03490076 GBPx
207,2021-03-20 01:00:03+00:00,Interest,NEXO,0.06473391,0.19,3479.37,approved / 0.15259144 EURx
208,2021-03-20 00:00:01+00:00,Interest,USD,-0.57,0.57,3479.37,approved / Interest
209,2021-03-19 01:00:03+00:00,Interest,NEXO,0.09891333,0.28,3478.8,approved / 0.00000468 BTC
210,2021-03-19 01:00:03+00:00,Interest,NEXO,0.05999899,0.17,3478.8,approved / 0.00009228 ETH
211,2021-03-19 01:00:03+00:00,Interest,NEXO,0.01772186,0.05,3478.8,approved / 0.03490076 GBPx
212,2021-03-19 01:00:03+00:00,Interest,NEXO,0.06631353,0.19,3478.8,approved / 0.15259144 EURx
213,2021-03-19 00:00:02+00:00,Interest,USD,-0.57,0.57,3478.8,approved / Interest
214,2021-03-18 05:56:53+00:00,LockingTermDeposit,PAXG,-0.0309938,54.28,3478.23,approved / Transfer from Savings Wallet to Term Wallet
215,2021-03-18 05:56:29+00:00,TransferIn,PAXG,0.0309938,54.28,3478.23,approved / Transfer from Credit Line Wallet to Savings Wallet
216,2021-03-18 05:53:23+00:00,LockingTermDeposit,BNB,-1.0765208,294.66,3478.23,approved / Transfer from Savings Wallet to Term Wallet
217,2021-03-18 05:50:38+00:00,TransferIn,BNB,1.0765208,294.23,3478.23,approved / Transfer from Credit Line Wallet to Savings Wallet
218,2021-03-18 01:00:03+00:00,Interest,NEXO,0.10049624,0.28,3478.23,approved / 0.00000468 BTC
219,2021-03-18 01:00:03+00:00,Interest,NEXO,0.06126983,0.17,3478.23,approved / 0.00009228 ETH
220,2021-03-18 01:00:03+00:00,Interest,NEXO,0.01775755,0.05,3478.23,approved / 0.03490076 GBPx
221,2021-03-18 01:00:03+00:00,Interest,NEXO,0.06657189,0.19,3478.23,approved / 0.15259144 EURx
222,2021-03-18 00:00:02+00:00,Interest,USD,-0.57,0.57,3478.23,approved / Interest
223,2021-03-17 01:00:03+00:00,Interest,NEXO,0.09847053,0.27,3477.66,approved / 0.00000468 BTC
224,2021-03-17 01:00:03+00:00,Interest,NEXO,0.06163964,0.17,3477.66,approved / 0.00009228 ETH
225,2021-03-17 01:00:03+00:00,Interest,NEXO,0.0180034,0.05,3477.66,approved / 0.03490076 GBPx
226,2021-03-17 01:00:03+00:00,Interest,NEXO,0.06738826,0.19,3477.66,approved / 0.15259144 EURx
227,2021-03-17 00:00:01+00:00,Interest,USD,-0.57,0.57,3477.66,approved / Interest
228,2021-03-16 01:00:03+00:00,Interest,NEXO,0.10174634,0.27,3477.09,approved / 0.00000468 BTC
229,2021-03-16 01:00:03+00:00,Interest,NEXO,0.06418742,0.17,3477.09,approved / 0.00009228 ETH
230,2021-03-16 01:00:03+00:00,Interest,NEXO,0.01882901,0.05,3477.09,approved / 0.03490076 GBPx
231,2021-03-16 01:00:03+00:00,Interest,NEXO,0.07063768,0.19,3477.09,approved / 0.15259144 EURx
232,2021-03-16 00:00:02+00:00,Interest,USD,-0.57,0.57,3477.09,approved / Interest
233,2021-03-15 01:00:03+00:00,Interest,NEXO,0.10828605,0.28,3476.52,approved / 0.00000468 BTC
234,2021-03-15 01:00:03+00:00,Interest,NEXO,0.06663822,0.18,3476.52,approved / 0.00009228 ETH
235,2021-03-15 01:00:03+00:00,Interest,NEXO,0.01891778,0.05,3476.52,approved / 0.03490076 GBPx
236,2021-03-15 01:00:03+00:00,Interest,NEXO,0.07095844,0.19,3476.52,approved / 0.15259144 EURx
